Title,Brand,OS,RAM,CPU,Storage,Screen Size,Resolution,CPU Speed,Refresh Rate,Model,Wireless Technology,SIM Count,Wireless Provider,Cellular Technology,Camera,Color,Price,Price Before Promotion,Currancy,Rate,URL,IMG,Reviews,Website
"realme 12 Pro 5G (Submarine Blue, 12GB RAM, 512GB Storage) | 50 MP Sony IMX882 OIS Camera | 32 MP 2X Flagship Telephoto Portrait | Snapdragon 6 Gen 1 | Curved Vision Display | 8 GB+12 GB Dynamic RAM",realme,realme UI 4.0 || Based on Android 13,8 GB,Snapdragon,512 GB,6.7 Inches,1080 x 2400,,60 Hz,realme 12 Pro,,,Unlocked for All Carriers,,,Blue,"EGP16,469.00",,EGP,4.2 out of 5 stars,https://www.amazon.eg/-/en/realme-Submarine-Flagship-Telephoto-Snapdragon/dp/B0CTK9M2M2/ref=sr_1_11?dib=eyJ2IjoiMSJ9.g3ph71ARJ1i8bFtKJaSVq4-z337XOGWliU5KLoEOR79BV8UMUmXSoMWM-Syj2wO9VI_gkH6ecZ-QLVwPLZdIOyEBTbxbroMiQDztB8Cbqs9qlqvBkn9OJGIMvkI0piOpgf2my63sqUbHHdEx6-T1bJZZinudcEiIzEnZI-z7HKiEGW-cCX0PpYT9zFhz7q9UzbDu2I9xj_gs-xNfRCP5TJLF1xjJQvTvF-IjAzyGOB1rGX3iGjl2C3WPoL3xmIKaHIAAQuOsMxc1gPy1UN8zLuwCthSzvcEcV-drrD3O-5U.bwibCV9TMObrKgLzLzgZyZuYHjpep_PyZI_ZfcLdr98&dib_tag=se&qid=1725742764&refinements=p_89%3Arealme&s=electronics&sr=1-11&language=en_AE,https://m.media-amazon.com/images/I/71emLVOIWdL._AC_SL1500_.jpg,"[{'reviewer_name': 'Mohamad Al Houssiny', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nهاتف جيد جداً', 'review_text': 'بعد استخدام 4 اسابيع ، الهاتف ممتاز وسريع جدا ولا بيهنج ولا الالوان واضحة جدا في الشاشة ، كاميرا قويه ، بطارية تقعد معاك يوم كامل مع استخدام كتير ، انصح به ، عيبه الوحيد مينفعش معاه سماعة اذن بسلك فقط وايرلس.\nRead more', 'review_date': 'Reviewed in Egypt on 25 March 2024'}]",Amazon EG
realme Realme C51 Dual-SIM 256GB ROM + 6GB RAM 4G (Mint Green) - Middle East Version,realme,Android 13.0,6 GB,Snapdragon,6 GB,6.5 Inches,1080 x 2400,,,Realme C51,,,Unlocked for All Carriers,4G,,Mint Green,"8,199.",,EGP,2.9 out of 5 stars,https://www.amazon.eg/-/en/realme-Realme-Dual-SIM-256GB-Green/dp/B0CTGGCD7S/ref=sr_1_27?dib=eyJ2IjoiMSJ9.lIC0CmGUhH6cNKmAWI23vKg0PYMOluv5J6vLdyO2dQupa9Pw7ldBOPUPOtpiMrsFw_aCwCMs9szyTr0VMy_srxEpoWmemOFbv_X3lnlZWy7RbsqVUDM6DTxoBsyrJdGRfYyp7Ez5G5jzYkKnbGsVcFFA6657e75PijAP4YOOFpNNJK-JSyNM63bsYz8WQ0fJ1nfSf9Qs--_BrmenWQL7Dj5qY-eFV15QDQuav8R3ig22PDMeATjtUa0nHSMWVImZneFD0zk1wqIXsOWId79rQg.z2dNhhF969TNfWifNHfyiZWifG4p1PB0AL_rik-tlI8&dib_tag=se&qid=1725742768&refinements=p_89%3Arealme&s=electronics&sr=1-27&language=en_AE,https://m.media-amazon.com/images/I/51JifQ3po9L._AC_SL1500_.jpg,[],Amazon EG
"Realme c25y dual sim, 6.5-inch, 128gb rom, 4gb ram - glacier blue",realme,Android 11.0,128 GB,Snapdragon,128 GB,6.5 Inches,720 x 1600,1.8 GHz,120 Hz,C25Y (4*128),,,,,,Blue,"6,499.",,EGP,3.8 out of 5 stars,https://www.amazon.eg/-/en/Realme-c25y-dual-6-5-inch-128gb/dp/B09NWC6F8K/ref=sr_1_41?dib=eyJ2IjoiMSJ9.lIC0CmGUhH6cNKmAWI23vKg0PYMOluv5J6vLdyO2dQupa9Pw7ldBOPUPOtpiMrsFw_aCwCMs9szyTr0VMy_srxEpoWmemOFbv_X3lnlZWy7RbsqVUDM6DTxoBsyrJdGRfYyp7Ez5G5jzYkKnbGsVcFFA6657e75PijAP4YOOFpNNJK-JSyNM63bsYz8WQ0fJ1nfSf9Qs--_BrmenWQL7Dj5qY-eFV15QDQuav8R3ig22PDMeATjtUa0nHSMWVImZneFD0zk1wqIXsOWId79rQg.z2dNhhF969TNfWifNHfyiZWifG4p1PB0AL_rik-tlI8&dib_tag=se&qid=1725742768&refinements=p_89%3Arealme&s=electronics&sr=1-41&language=en_AE,https://m.media-amazon.com/images/I/61JwZOfHAOL._AC_SL1500_.jpg,"[{'reviewer_name': 'Mohamed Ramadan', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nالمنتج جيد', 'review_text': 'التوصيل في الميعاد\nRead more', 'review_date': 'Reviewed in Egypt on 3 July 2023'}, {'reviewer_name': 'اشرف مصطفى', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nكويس', 'review_text': 'كويس\nRead more', 'review_date': 'Reviewed in Egypt on 9 November 2023'}, {'reviewer_name': 'أبو عمر', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز بالنسبة للفئة السعرية', 'review_text': 'ممتاز بالنسبة للفئة السعرية وسعر جيد\nRead more', 'review_date': 'Reviewed in Egypt on 4 June 2023'}, {'reviewer_name': 'شادى عبدالسلام محمد', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nحلو', 'review_text': 'كويس جدا\nRead more', 'review_date': 'Reviewed in Egypt on 19 November 2022'}, {'reviewer_name': 'abdo ali', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nسيء جدا', 'review_text': 'لماذا ترسلون الينا اشياء معطله هذا الهاتف به عطل بالسماعه وبالاضافة انه جديد لكنه معطل انتم توقفون الحال.!\nRead more', 'review_date': 'Reviewed in Egypt on 5 December 2022'}, {'reviewer_name': 'user-ML1Y9Y', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nجيد جدا', 'review_text': 'جيد جدا\nRead more', 'review_date': 'Reviewed in Egypt on 9 August 2022'}, {'reviewer_name': 'hesham', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nالمنتج ليس ضمان محلى و تم التأكد من فرع الضمان', 'review_text': 'المنتج ليس ضمان محلى لشركة ريلمى\nRead more', 'review_date': 'Reviewed in Egypt on 22 November 2022'}, {'reviewer_name': 'Shimaa', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nارخص سعر', 'review_text': 'تجربه ممتازه وسعر مميز جدا\nRead more', 'review_date': 'Reviewed in Egypt on 22 February 2023'}]",Amazon EG
Realme Note 50 4-128 Black,realme,Android 10.0,4 GB,Snapdragon,128 GB,6.4 Inches,,,,Realme Note 50,,,,4G,,Black,"3,299.",,EGP,1.0 out of 5 stars,https://www.amazon.eg/-/en/Realme-Note-50-4-128-Black/dp/B0D1VMW5JD/ref=sr_1_17?dib=eyJ2IjoiMSJ9.g3ph71ARJ1i8bFtKJaSVq4-z337XOGWliU5KLoEOR79BV8UMUmXSoMWM-Syj2wO9VI_gkH6ecZ-QLVwPLZdIOyEBTbxbroMiQDztB8Cbqs9qlqvBkn9OJGIMvkI0piOpgf2my63sqUbHHdEx6-T1bJZZinudcEiIzEnZI-z7HKiEGW-cCX0PpYT9zFhz7q9UzbDu2I9xj_gs-xNfRCP5TJLF1xjJQvTvF-IjAzyGOB1rGX3iGjl2C3WPoL3xmIKaHIAAQuOsMxc1gPy1UN8zLuwCthSzvcEcV-drrD3O-5U.bwibCV9TMObrKgLzLzgZyZuYHjpep_PyZI_ZfcLdr98&dib_tag=se&qid=1725742764&refinements=p_89%3Arealme&s=electronics&sr=1-17&language=en_AE,https://m.media-amazon.com/images/I/51vbgjrzZ4L._AC_SL1500_.jpg,"[{'reviewer_name': 'رشا حسن', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nلا انصح التعامل مع هذا التاجر', 'review_text': 'يرسل الكرتونه خاليه أو بها منتج غير الموبايل\nRead more', 'review_date': 'Reviewed in Egypt on 24 May 2024'}]",Amazon EG
"realme 7i 128 GB, 8GB RAM 4G Lte Dual Sim Phone (Polar Blue)",realme,Android 10.0,8 GB,Snapdragon,128 GB,6.5 Inches,720 x 1600,2.84 GHz,90 Hz,realme 7i,,,,,,Blue,"EGP7,399.00",,EGP,5.0 out of 5 stars,https://www.amazon.eg/-/en/realme-7i-Dual-Phone-Polar/dp/B08WJJKHZN/ref=sr_1_39?dib=eyJ2IjoiMSJ9.lIC0CmGUhH6cNKmAWI23vKg0PYMOluv5J6vLdyO2dQupa9Pw7ldBOPUPOtpiMrsFw_aCwCMs9szyTr0VMy_srxEpoWmemOFbv_X3lnlZWy7RbsqVUDM6DTxoBsyrJdGRfYyp7Ez5G5jzYkKnbGsVcFFA6657e75PijAP4YOOFpNNJK-JSyNM63bsYz8WQ0fJ1nfSf9Qs--_BrmenWQL7Dj5qY-eFV15QDQuav8R3ig22PDMeATjtUa0nHSMWVImZneFD0zk1wqIXsOWId79rQg.z2dNhhF969TNfWifNHfyiZWifG4p1PB0AL_rik-tlI8&dib_tag=se&qid=1725742768&refinements=p_89%3Arealme&s=electronics&sr=1-39&language=en_AE,https://m.media-amazon.com/images/I/51y0vE4L85L._AC_SL1500_.jpg,"[{'reviewer_name': 'MØHÄMMËD ĒSSĀ', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nتقييم من سوق.كوم', 'review_text': 'تليفون محترم من براند محترم ومساحه تخزين ورامات تمام اويإيجابيات هذا المنتج:البراند محترمسلبيات هذا المنتج:معالج مش قوي اوي\nRead more', 'review_date': 'Reviewed in Egypt on 18 January 2021'}]",Amazon EG
"realme c65 Smartphone 6+128 GB, 50MP AI Camera, 6.67 Inch Eye Comfort Display with 90Hz Refresh Rate, 45W Fast Charge, 5000mAh Massive Battery, NFC Supported, Starlight Gold",realme,Android,,,128 GB,6.4 Inches,,,,realme C65,"Wi-Fi, LTE",,Unlocked for All Carriers,,,Starlight,"EGP6,490.00","EGP6,750.00",EGP,3.9 out of 5 stars,https://www.amazon.eg/-/en/realme-Smartphone-Comfort-Supported-Starlight/dp/B0CZTTNQ2R/ref=sr_1_33?dib=eyJ2IjoiMSJ9.lIC0CmGUhH6cNKmAWI23vKg0PYMOluv5J6vLdyO2dQupa9Pw7ldBOPUPOtpiMrsFw_aCwCMs9szyTr0VMy_srxEpoWmemOFbv_X3lnlZWy7RbsqVUDM6DTxoBsyrJdGRfYyp7Ez5G5jzYkKnbGsVcFFA6657e75PijAP4YOOFpNNJK-JSyNM63bsYz8WQ0fJ1nfSf9Qs--_BrmenWQL7Dj5qY-eFV15QDQuav8R3ig22PDMeATjtUa0nHSMWVImZneFD0zk1wqIXsOWId79rQg.z2dNhhF969TNfWifNHfyiZWifG4p1PB0AL_rik-tlI8&dib_tag=se&qid=1725742768&refinements=p_89%3Arealme&s=electronics&sr=1-33&language=en_AE,https://m.media-amazon.com/images/I/71nva4btzuL._AC_SL1500_.jpg,[],Amazon EG
"Realme C33 4GB RAM, 128GB Storage - Night Sea, Bluetooth, Wi-Fi, USB",realme,Android 12.0,4 GB,Snapdragon,128 GB,6.5 Inches,720 x 1600,1.8 GHz,60 Hz,Realme C33,,,,,,Blue,"EGP6,999.00",,EGP,3.0 out of 5 stars,https://www.amazon.eg/-/en/Realme-C33-4GB-128GB-Storage/dp/B0BSTCVJWW/ref=sr_1_38?dib=eyJ2IjoiMSJ9.lIC0CmGUhH6cNKmAWI23vKg0PYMOluv5J6vLdyO2dQupa9Pw7ldBOPUPOtpiMrsFw_aCwCMs9szyTr0VMy_srxEpoWmemOFbv_X3lnlZWy7RbsqVUDM6DTxoBsyrJdGRfYyp7Ez5G5jzYkKnbGsVcFFA6657e75PijAP4YOOFpNNJK-JSyNM63bsYz8WQ0fJ1nfSf9Qs--_BrmenWQL7Dj5qY-eFV15QDQuav8R3ig22PDMeATjtUa0nHSMWVImZneFD0zk1wqIXsOWId79rQg.z2dNhhF969TNfWifNHfyiZWifG4p1PB0AL_rik-tlI8&dib_tag=se&qid=1725742768&refinements=p_89%3Arealme&s=electronics&sr=1-38&language=en_AE,https://m.media-amazon.com/images/I/51w5z3wOpTL._AC_SL1000_.jpg,"[{'reviewer_name': 'سيئ جدا و بيعلق من اول اسبوع', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nاستعمال الهاتف', 'review_text': 'بيعلق من اول فتره الاستخدام\nRead more', 'review_date': 'Reviewed in Egypt on 25 October 2023'}, {'reviewer_name': 'Ehab', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nجيد', 'review_text': 'الى الان جيد\nRead more', 'review_date': 'Reviewed in Egypt on 8 May 2023'}]",Amazon EG
Realme Note 50 DUAL SIM 128GB ROM + 4GB RAM (GSM ONLY | NO CDMA) Factory Unlocked 4G/LTE Smartphone (Sky Blue) - International Version,realme,Android,4 GB,Snapdragon,128 GB,6.74 Inches,720 x 1600,1.8 GHz,,Note 50,,,Unlocked for All Carriers,,,Blue,"8,199.",,EGP,4.1 out of 5 stars,https://www.amazon.eg/-/en/Realme-128GB-Factory-Unlocked-Smartphone/dp/B0CW218GHZ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.g3ph71ARJ1i8bFtKJaSVq4-z337XOGWliU5KLoEOR79BV8UMUmXSoMWM-Syj2wO9VI_gkH6ecZ-QLVwPLZdIOyEBTbxbroMiQDztB8Cbqs9qlqvBkn9OJGIMvkI0piOpgf2my63sqUbHHdEx6-T1bJZZinudcEiIzEnZI-z7HKiEGW-cCX0PpYT9zFhz7q9UzbDu2I9xj_gs-xNfRCP5TJLF1xjJQvTvF-IjAzyGOB1rGX3iGjl2C3WPoL3xmIKaHIAAQuOsMxc1gPy1UN8zLuwCthSzvcEcV-drrD3O-5U.bwibCV9TMObrKgLzLzgZyZuYHjpep_PyZI_ZfcLdr98&dib_tag=se&qid=1725742764&refinements=p_89%3Arealme&s=electronics&sr=1-1&language=en_AE,https://m.media-amazon.com/images/I/71vWEdLvs-L._AC_SL1500_.jpg,[],Amazon EG
"realme C21Y Dual Sim 64GB 4GB RAM, 4G Lte Phone 6.5in, Black)",realme,Android 10.0,4 GB,Snapdragon,4 GB,6.5 Inches,720 x 1600,,60 Hz,,,,Unlocked for All Carriers,4G,,Black,"3,299.",,EGP,4.3 out of 5 stars,https://www.amazon.eg/-/en/realme-C21Y-Phone-6-5in-Black/dp/B09FGZDDF1/ref=sr_1_32?dib=eyJ2IjoiMSJ9.lIC0CmGUhH6cNKmAWI23vKg0PYMOluv5J6vLdyO2dQupa9Pw7ldBOPUPOtpiMrsFw_aCwCMs9szyTr0VMy_srxEpoWmemOFbv_X3lnlZWy7RbsqVUDM6DTxoBsyrJdGRfYyp7Ez5G5jzYkKnbGsVcFFA6657e75PijAP4YOOFpNNJK-JSyNM63bsYz8WQ0fJ1nfSf9Qs--_BrmenWQL7Dj5qY-eFV15QDQuav8R3ig22PDMeATjtUa0nHSMWVImZneFD0zk1wqIXsOWId79rQg.z2dNhhF969TNfWifNHfyiZWifG4p1PB0AL_rik-tlI8&dib_tag=se&qid=1725742768&refinements=p_89%3Arealme&s=electronics&sr=1-32&language=en_AE,https://m.media-amazon.com/images/I/61jAfCRJq2L._AC_SL1500_.jpg,"[{'reviewer_name': 'Bassem Dolf Faleh', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجيد وعملى', 'review_text': 'جميل\nRead more', 'review_date': 'Reviewed in Egypt on 14 February 2024'}, {'reviewer_name': 'Doaa', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nV good', 'review_text': 'V good\nRead more', 'review_date': 'Reviewed in Egypt on 23 September 2022'}, {'reviewer_name': 'Mohamed', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nالتليفون حلو جدا', 'review_text': 'التليفون حلو وممتاز احسن امازون في الدنيا\nRead more', 'review_date': 'Reviewed in Egypt on 1 February 2022'}, {'reviewer_name': 'Mohamed A.', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز', 'review_text': 'منتج ممتاز\nRead more', 'review_date': 'Reviewed in Egypt on 24 July 2023'}]",Amazon EG
"Realme 12 5G Android Smartphone, Dual SIM Mobile Phone, 512GB + 8GB RAM (Woodland Green) - Middle East Version",realme,Android,,,512 GB,6.72 Inches,,,,realme 12 5G,GSM,,Unlocked for All Carriers,,,Green,"EGP12,550.00",,EGP,Previous page,https://www.amazon.eg/-/en/Realme-Android-Smartphone-Mobile-Woodland/dp/B0D2Y2STF9/ref=sr_1_31?dib=eyJ2IjoiMSJ9.lIC0CmGUhH6cNKmAWI23vKg0PYMOluv5J6vLdyO2dQupa9Pw7ldBOPUPOtpiMrsFw_aCwCMs9szyTr0VMy_srxEpoWmemOFbv_X3lnlZWy7RbsqVUDM6DTxoBsyrJdGRfYyp7Ez5G5jzYkKnbGsVcFFA6657e75PijAP4YOOFpNNJK-JSyNM63bsYz8WQ0fJ1nfSf9Qs--_BrmenWQL7Dj5qY-eFV15QDQuav8R3ig22PDMeATjtUa0nHSMWVImZneFD0zk1wqIXsOWId79rQg.z2dNhhF969TNfWifNHfyiZWifG4p1PB0AL_rik-tlI8&dib_tag=se&qid=1725742768&refinements=p_89%3Arealme&s=electronics&sr=1-31&language=en_AE,https://m.media-amazon.com/images/I/81dA4WginXL._AC_SL1500_.jpg,[],Amazon EG
realme C67 Dual-SIM 256GB ROM + 8GB RAM (Only GSM | No CDMA) Factory Unlocked 4G/LTE Smartphone (Sunny Oasis) - International Version,realme,Android 11.0,8 GB,Snapdragon,256 GB,6.72 Inches,1080 x 2400,,120 Hz,Realme C67,,,Unlocked for All Carriers,,,,"EGP7,859.75",,EGP,4.1 out of 5 stars,https://www.amazon.eg/-/en/realme-Dual-SIM-Factory-Unlocked-Smartphone/dp/B0CQRCWH7P/ref=sr_1_5?dib=eyJ2IjoiMSJ9.g3ph71ARJ1i8bFtKJaSVq4-z337XOGWliU5KLoEOR79BV8UMUmXSoMWM-Syj2wO9VI_gkH6ecZ-QLVwPLZdIOyEBTbxbroMiQDztB8Cbqs9qlqvBkn9OJGIMvkI0piOpgf2my63sqUbHHdEx6-T1bJZZinudcEiIzEnZI-z7HKiEGW-cCX0PpYT9zFhz7q9UzbDu2I9xj_gs-xNfRCP5TJLF1xjJQvTvF-IjAzyGOB1rGX3iGjl2C3WPoL3xmIKaHIAAQuOsMxc1gPy1UN8zLuwCthSzvcEcV-drrD3O-5U.bwibCV9TMObrKgLzLzgZyZuYHjpep_PyZI_ZfcLdr98&dib_tag=se&qid=1725742764&refinements=p_89%3Arealme&s=electronics&sr=1-5&language=en_AE,https://m.media-amazon.com/images/I/715bzjyJkYL._AC_SL1500_.jpg,"[{'reviewer_name': 'Waleed S.', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز كقيمة مقابل سعر', 'review_text': 'ممتاز جداً فى الفئة المتوسطة\nRead more', 'review_date': 'Reviewed in Egypt on 24 August 2024'}, {'reviewer_name': 'Muhammed', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nجميل', 'review_text': 'قيمه مقابل سعر\nRead more', 'review_date': 'Reviewed in Egypt on 31 May 2024'}, {'reviewer_name': 'Sameh taha', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nرائع', 'review_text': 'منتج رائع كفئة متوسطة\nRead more', 'review_date': 'Reviewed in Egypt on 24 August 2024'}, {'reviewer_name': 'التاجر غير امين ارسال منتج غير المنتج ارسل شريط ليد بدل المشتركات', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nلا يوجد منتج اصلا', 'review_text': 'انا طلبت تليفون جالى لمبه وتم الارتجاع ولكن لم استلم المبلغ حتى الآن ولا يستحق نجمه واحده\nRead more', 'review_date': 'Reviewed in Egypt on 28 June 2024'}, {'reviewer_name': 'Omar', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nهل يدعم nfc', 'review_text': 'NFC\nRead more', 'review_date': 'Reviewed in Egypt on 17 August 2024'}]",Amazon EG
Realme Note 50-4GB - 256GB - Sky Blue,,,,,,,,,,,,,,,,Blue,"EGP10,000.00",,EGP,Previous page,https://www.amazon.eg/-/en/Realme-Note-50-4GB-256GB-Blue/dp/B0DC787VXK/ref=sr_1_42?dib=eyJ2IjoiMSJ9.lIC0CmGUhH6cNKmAWI23vKg0PYMOluv5J6vLdyO2dQupa9Pw7ldBOPUPOtpiMrsFw_aCwCMs9szyTr0VMy_srxEpoWmemOFbv_X3lnlZWy7RbsqVUDM6DTxoBsyrJdGRfYyp7Ez5G5jzYkKnbGsVcFFA6657e75PijAP4YOOFpNNJK-JSyNM63bsYz8WQ0fJ1nfSf9Qs--_BrmenWQL7Dj5qY-eFV15QDQuav8R3ig22PDMeATjtUa0nHSMWVImZneFD0zk1wqIXsOWId79rQg.z2dNhhF969TNfWifNHfyiZWifG4p1PB0AL_rik-tlI8&dib_tag=se&qid=1725742768&refinements=p_89%3Arealme&s=electronics&sr=1-42&language=en_AE,https://m.media-amazon.com/images/I/41X3RWxxSkL.__AC_SX300_SY300_QL70_ML2_.jpg,[],Amazon EG
Realme 11 Pro+ 5G -International Sunrise,,,,,,,,,,,,,,,,green,"EGP16,999.00",,EGP,4.2 out of 5 stars,https://www.amazon.eg/-/en/realme-512GB-Oasis-Global-RMX3741/dp/B0CB3Z77S8/ref=sr_1_28?dib=eyJ2IjoiMSJ9.lIC0CmGUhH6cNKmAWI23vKg0PYMOluv5J6vLdyO2dQupa9Pw7ldBOPUPOtpiMrsFw_aCwCMs9szyTr0VMy_srxEpoWmemOFbv_X3lnlZWy7RbsqVUDM6DTxoBsyrJdGRfYyp7Ez5G5jzYkKnbGsVcFFA6657e75PijAP4YOOFpNNJK-JSyNM63bsYz8WQ0fJ1nfSf9Qs--_BrmenWQL7Dj5qY-eFV15QDQuav8R3ig22PDMeATjtUa0nHSMWVImZneFD0zk1wqIXsOWId79rQg.z2dNhhF969TNfWifNHfyiZWifG4p1PB0AL_rik-tlI8&dib_tag=se&qid=1725742768&refinements=p_89%3Arealme&s=electronics&sr=1-28&language=en_AE,https://m.media-amazon.com/images/I/813I2PlnZPL._AC_SL1500_.jpg,"[{'reviewer_name': 'D\\Mahmoud Mahmed', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\n👌👌👌👌👌👌', 'review_text': '👍👍👍👍👍👍👍👍👍👍👍👍\nRead more', 'review_date': 'Reviewed in Egypt on 3 February 2024'}, {'reviewer_name': 'mahmoud', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nممتاز', 'review_text': 'ممتاز\nRead more', 'review_date': 'Reviewed in Egypt on 3 December 2023'}, {'reviewer_name': 'ده برو بلس ولا برو بس', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nجمييل🥹', 'review_text': 'بيشحن بسرعه وبيقعد الشحن كتير وسلس ف الحركه\nRead more', 'review_date': 'Reviewed in Egypt on 16 November 2023'}]",Amazon EG
"Realme 11 Dual SIM, 5G LTE, 8GB RAM, 256GB ROM - Glory Gold",realme,Android 13.0,8 GB,Snapdragon,8 GB,6.72 Inches,1080 x 2400,,120 Hz,realme 11 5g,,,Unlocked for All Carriers,,,Gold,"EGP10,999.00","EGP11,299.00",EGP,4.0 out of 5 stars,https://www.amazon.eg/-/en/Realme-Dual-SIM-LTE-256GB/dp/B0CGJ1YL3H/ref=sr_1_7?dib=eyJ2IjoiMSJ9.g3ph71ARJ1i8bFtKJaSVq4-z337XOGWliU5KLoEOR79BV8UMUmXSoMWM-Syj2wO9VI_gkH6ecZ-QLVwPLZdIOyEBTbxbroMiQDztB8Cbqs9qlqvBkn9OJGIMvkI0piOpgf2my63sqUbHHdEx6-T1bJZZinudcEiIzEnZI-z7HKiEGW-cCX0PpYT9zFhz7q9UzbDu2I9xj_gs-xNfRCP5TJLF1xjJQvTvF-IjAzyGOB1rGX3iGjl2C3WPoL3xmIKaHIAAQuOsMxc1gPy1UN8zLuwCthSzvcEcV-drrD3O-5U.bwibCV9TMObrKgLzLzgZyZuYHjpep_PyZI_ZfcLdr98&dib_tag=se&qid=1725742764&refinements=p_89%3Arealme&s=electronics&sr=1-7&language=en_AE,https://m.media-amazon.com/images/I/71weGzMECKL._AC_SL1500_.jpg,"[{'reviewer_name': 'Alsayed f.', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجيد جدا', 'review_text': 'التليفون كويس جدا بيدعم ال NFC وال 5G الشاشه جميله جدا مع انها ips لكن مش هتحس بالفرق البصمه سريعه الكاميرا ممتازه كأنك ماسك ايفون الشحن في حوالي 40دقيقه أو اقل طول اليوم  بدون مبالغه  الصوت مش احسن حاجه لكن حلو قوي مش هتمسك موبايل فيه كل المميزات وافتكر أن ده كان سعره 9900يعني فئه متوسطه معجبنيش أنه من غير اسكرينه معجبنيش أنه مفيهوش شاشه توقف أو ساعه موفره للطاقه وكمان معجبنيش أنه مفيهوش المساعد الذكي ومتعقب الخطوات معجبنيش كمان واجهه اتصال جوجل المقرفه بدون مبالغه برنامج اتصال الهاتف زباله لكن غيرته ببرنامج اخر غير كده زي الفل\nRead more', 'review_date': 'Reviewed in Egypt on 30 January 2024'}, {'reviewer_name': 'Hussein', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nهاتف يتميز بالشكل الانيق و الاستخدام السهل', 'review_text': 'هاتف ممتاز جدا وامكانياته مقارنة بالفئة السعرية ممتاز..أنصح جدا بشراؤه\nRead more', 'review_date': 'Reviewed in Egypt on 6 May 2024'}, {'reviewer_name': 'Mohammed-Hossam', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nتوصيل سريع جدا', 'review_text': 'الهاتف شغال تمام يؤدي غرض فئته السعريه\nRead more', 'review_date': 'Reviewed in Egypt on 19 February 2024'}, {'reviewer_name': 'هل المعالج جميل في ببجي', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nهل جميل في ببجي', 'review_text': 'لم يتم تجربته\nRead more', 'review_date': 'Reviewed in Egypt on 28 August 2024'}, {'reviewer_name': 'roka', 'review_rating': '2.0 out of 5 stars', 'review_title': '2.0 out of 5 stars\nمعاه هاند ولا لا', 'review_text': 'معاه سماعات ولالا\nRead more', 'review_date': 'Reviewed in Egypt on 1 March 2024'}]",Amazon EG
