Title,Brand,OS,RAM,CPU,Storage,Screen Size,Resolution,CPU Speed,Model,Wireless Technology,SIM Count,Wireless Provider,Cellular Technology,Camera,Color,Price,Price Before Promotion,Currancy,Rate,URL,IMG,Reviews,Website
"HUAWEI nova 12i Smart Phone, Dual SIM Mobile Phone, 6.7-inch AOD Display, 40 W Turbo, 5000 mAh Durable Battery, 108 MP High-Res Photography, 8 + 256GB Storage, EMUI 14, LTE, Green",HUAWEI,EMUI 14,8 GB,Snapdragon,256 GB,6.7 Inches,,,HUAWEI nova 12i,,,Unlocked for All Carriers,4G,,Green,,,SAR,3.4 out of 5 stars,https://www.amazon.sa/-/en/HUAWEI-nova-12i-6-7-inch-Photography/dp/B0CXDNPYB6/ref=sr_1_2?dib=eyJ2IjoiMSJ9.9EiWj0HXXpesGjzJzPvV84X3kDZarLDMY0rZGMCPsP-Nnb6ZFLViL1V58bQt5zR4zRV7vfle6fNOd1XSERmaOJmv5UijK4m5jR_htIfBWImVTh2oa5sZIMcP9j8ax1hRgLZVUM2pqcmwnk6CXAaLGaSCTCcz6FkmV17MAU00lOEo9HkBR79JvWyi2vohcneEbZGJWVASv2JeJDVTgDV37_I2mue9K84QX83jS92e-DGbL6SmrAtQqzpf8OoysGSKdl0O0WsnlfQX4UNRLpY05pPeXRRN4SWOk8vxz0fSjCk.AvmPWOjDkaufnymICMlRXl-ir5BvFVSm_wepnFtP72g&dib_tag=se&qid=1725912180&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHUAWEI&s=electronics&sr=1-2&language=en_AE,https://m.media-amazon.com/images/I/81RuDGfNosL._AC_SL1500_.jpg,"[{'reviewer_name': 'mahmoud', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nتطبيقات قوقل تعمل بشكل سليم', 'review_text': 'تطبيقات قوقل تعمل بشكر سليم  من متجر تطبيقات هواويhttps: consumer.huawei.com sa community details topicId-189363""\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 13 August 2024'}, {'reviewer_name': 'ابو بسام', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nلايدعم  قوقل', 'review_text': 'مانصح فيه للامانه الا اذا ماانت محتاج لسوق قوقل فيه تطبيق يحمل من قوقل وممتاز بس للاسف بعض التطبيقات تطلب التحميل الرسمي من قوقل\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 7 May 2024'}, {'reviewer_name': 'Faruk hossain', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nMobile is not convenient', 'review_text': ""If you use it for some time, the mobile becomes very hot. I didn't expect it.But I like the Amazon side a lot. They deliver the goods within the specified time. And does not cheat. Thanks to Amazon.\nRead more"", 'review_date': 'Reviewed in Saudi Arabia on 30 May 2024'}]",Amazon SA
"Huawei Y6S Dual SIM - 6.9 Inch, 64 GB, 3 GB RAM, 4G LTE - Starry Black",HUAWEI,Android 9.0,3 GB,MediaTek Helio,64 GB,6.09 Inches,720 x 1560,,Y6S,,,Unlocked for All Carriers,,,Black,"SAR1,769.00",,SAR,4.3 out of 5 stars,https://www.amazon.sa/-/en/Huawei-Y6S-Dual-SIM-Starry/dp/B0847JLQZL/ref=sr_1_116?dib=eyJ2IjoiMSJ9.HMMZZxKOcnmZKKj0Tg91WAG4DMmZQX11d0rxlwK0sXDtGtxmjlYQz2QpnwQ5jVKFuPr0gBPzHgymIUIveTfjFbrwMax21Mljbs5oVOz_VSyFwla7p4R9VF4p85qqrB5jLeWfLV3jTAtuINIV2DeEUuxyEW3d77UqbmgRNuEoobLC5UqeROM4MC5LbuDTpj89MKr2uPJ2dW2xqoniTn3cLOgCvEIuYbzBMEBXSDr_TrUvS18LgfKEC258Vsh5Gk5-WwU1z2Hyi0HMG-grUKvBC_1Ya2nQgd7pN4-eDPWwqlE.NphLpZGNoZF-i2UlrstsiMc8PidRSb28gGuIxgYuymY&dib_tag=se&qid=1725912198&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHUAWEI&s=electronics&sr=1-116&language=en_AE,https://m.media-amazon.com/images/I/61hmN0LxFCL._AC_SL1000_.jpg,"[{'reviewer_name': 'محمد المنقري', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجوال موبايل هواي Y6s', 'review_text': 'للأسف الجهاز يعمل لكن لا يتم التقاط اي شبكه محليه داخل المملكه يقول لي هذا الجهاز لا يتوافق مع مشغل الشبكات في المنطقه التي انت فيها حاليا بمعنى اي سي الشبكه محدود وغير متوافق مع شبكات المملكه العربيه السعوديه ولكن الشكر لأمازون لقد تم ارجاع المبلغ لي كاملا\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 8 April 2024'}, {'reviewer_name': 'user-MR9R4Q1', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nتقييم من سوق.كوم', 'review_text': 'fantastic\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 27 April 2020'}, {'reviewer_name': 'user-MQ9KGB', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nتقييم من سوق.كوم', 'review_text': 'موبايل محترم مقارنة بسعره\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 18 February 2020'}]",Amazon SA
"HUAWEI nova 12 SE Smart Phone, Dual SIM, 6.67"" OLED HUAWEI FullView Display, 66 W HUAWEI SuperCharge Turbo 2.0, 4500mAh battery, 108 MP Portrait Triple Camera, 8+256GB, Green + FreeBuds 5i + Backpack",HUAWEI,EMUI 14,8 GB,Snapdragon,256 GB,6.7 Inches,,,HUAWEI nova 12 SE,,,Unlocked for All Carriers,4G,,Green,,,SAR,3.6 out of 5 stars,https://www.amazon.sa/-/en/HUAWEI-nova-12-SE-SuperCharge/dp/B0CXN8NJD8/ref=sr_1_4?dib=eyJ2IjoiMSJ9.9EiWj0HXXpesGjzJzPvV84X3kDZarLDMY0rZGMCPsP-Nnb6ZFLViL1V58bQt5zR4zRV7vfle6fNOd1XSERmaOJmv5UijK4m5jR_htIfBWImVTh2oa5sZIMcP9j8ax1hRgLZVUM2pqcmwnk6CXAaLGaSCTCcz6FkmV17MAU00lOEo9HkBR79JvWyi2vohcneEbZGJWVASv2JeJDVTgDV37_I2mue9K84QX83jS92e-DGbL6SmrAtQqzpf8OoysGSKdl0O0WsnlfQX4UNRLpY05pPeXRRN4SWOk8vxz0fSjCk.AvmPWOjDkaufnymICMlRXl-ir5BvFVSm_wepnFtP72g&dib_tag=se&qid=1725912180&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHUAWEI&s=electronics&sr=1-4&language=en_AE,https://m.media-amazon.com/images/I/7141MYuhbuL._AC_SL1500_.jpg,"[{'reviewer_name': 'Louie', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nVery Mid Range Device', 'review_text': ""Kinda not so worth it for the price. What I experiencing is it keeps my app browsing stops out of nowhere; like while browsing it  will suddenly froze for a minute or two. I bought this phone trusting the brand and the specs since I'm in a Huawei Ecosystem. Only this makes me feel like, its not worth the price.\nRead more"", 'review_date': 'Reviewed in Saudi Arabia on 23 August 2024'}, {'reviewer_name': 'حجمه شوي كبير لاكن مفيد جدا صراحه', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nمكه', 'review_text': 'تصميم الجوال مش حلو الحقيقه\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 8 May 2024'}, {'reviewer_name': 'Ccd', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nلاشي', 'review_text': 'Ok\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 7 June 2024'}, {'reviewer_name': 'حسن مكي', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nهاتف جميل', 'review_text': 'هاتف هواوي نوفا اس اي جميل معوعرض رهيبوصل الهاتف مع سماعه بلوتوث وشنطه ظهر\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 19 July 2024'}]",Amazon SA
"HUAWEI Y9 2018 (FLA-LX3) 5.9"" Dual Camera 13MP + 2MP 32GB ROM + 3GB Ram Unlocked (Blue)",HUAWEI,Android,3 GB,Snapdragon,32 GB,5.9 Inches,,1.8 GHz,HUAWEI Y9,,,Unlocked,,,Blue,SAR884.00,,SAR,3.8 out of 5 stars,https://www.amazon.sa/-/en/HUAWEI-2018-FLA-LX3-Camera-Unlocked/dp/B07DNMHP4C/ref=sr_1_39?dib=eyJ2IjoiMSJ9.a8Un1cBw9IBPRVPubCACK5NcXMjCsk98P0_kHDywUnNa_AIEO0N0tjQEjA41XCvlXhrhCSqjS-OcfS7lSTnDZoEW-fFu48aWuHhufXDdLWQT5fETOmn4G4LF6Tf2zsA20pVy0HreZo3rZRfliCZ0dIk5uJs6_VBwDNU6yIRtmabY3zznRtod3VYk7D6q2k0xQsUa8NxisNewGhUY9CVh0uBsSLoaU_DmmImHmHwmkZstld-06u9-AhW0ODQuvC0l9z4gdZO-jFMo8mcrpu41j-LR_nzBev65YrImW8fleYE.9NyWAGCmkw9Hyh095Lh5JwHBHy-XS_PLrK-uC8BFbAU&dib_tag=se&qid=1725912188&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHUAWEI&s=electronics&sr=1-39&language=en_AE,https://m.media-amazon.com/images/I/61zDSBYl7ZL._AC_SL1500_.jpg,"[{'reviewer_name': 'Mohammad Naushad Alam', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nNot good', 'review_text': 'Some aap not sport\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 1 May 2023'}]",Amazon SA
Huawei nova 9 SE Dual-SIM 128GB ROM + 8GB RAM (GSM Only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Pearl White) - International Version,HUAWEI,Android 11.0,8 GB,Snapdragon,128 GB,6.78 Inches,1080 x 2388,"1.9, 2.4 GHz",nova 9 SE,,,,,,Pearl White,"SAR2,885.00",,SAR,3.6 out of 5 stars,https://www.amazon.sa/-/en/Huawei-Dual-SIM-Factory-Unlocked-Smartphone/dp/B09TL6TV6Z/ref=sr_1_83?dib=eyJ2IjoiMSJ9.0-xgi8BENIdo4WhsrBSy_2cEXsIS6rrMnarkpUJyCuV8fAg_ngENUuISPxbhpu0G9DDwwepWmRhG6Jq5skiO076pRnoak4jpaxY3yBVXNIpT2j2CCQ0mtLMOx8xrIjWx2uiD48uYkUghzSs9RoxcXKTZJ4383TANYtsoD6YVbBw4rlsDqKC8ADUMVyHCF3PScIX7Daanj9D7mF2_n6omKUSXr71PPNuVC3OUBFAgGC7kTfVzuvwqsiOoaYQiIrPJJN0d-UWwD-eLiU4L3vp6eKAJZ1PW--lO3bSYP-JJh2U.iLNJpRkBQzWyq5R8O6cCqnia0VJ4gsWHEmoPJ6nyRYQ&dib_tag=se&qid=1725912195&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHUAWEI&s=electronics&sr=1-83&language=en_AE,https://m.media-amazon.com/images/I/51uuB3y3wPL._AC_SL1000_.jpg,[],Amazon SA
"HUAWEI nova 11 Pro Smart Phone, 60 MP Front Ultra Portrait Dual Camera, Durable Kunlun Glass, 6.78 inch OLED Curved Display, 8 + 256GB, Green + HUAWEI WATCH Fit New, Pink + Gift Card Service",HUAWEI,EMUI 13,8 GB,Snapdragon,256 GB,6.78 Inches,,,nova 11 Pro,,,Unlocked for All Carriers,4G,,Pink,,,SAR,3.4 out of 5 stars,https://www.amazon.sa/-/en/HUAWEI-Portrait-Durable-Display-Service/dp/B0C74TH3Z1/ref=sr_1_27?dib=eyJ2IjoiMSJ9.a8Un1cBw9IBPRVPubCACK5NcXMjCsk98P0_kHDywUnNa_AIEO0N0tjQEjA41XCvlXhrhCSqjS-OcfS7lSTnDZoEW-fFu48aWuHhufXDdLWQT5fETOmn4G4LF6Tf2zsA20pVy0HreZo3rZRfliCZ0dIk5uJs6_VBwDNU6yIRtmabY3zznRtod3VYk7D6q2k0xQsUa8NxisNewGhUY9CVh0uBsSLoaU_DmmImHmHwmkZstld-06u9-AhW0ODQuvC0l9z4gdZO-jFMo8mcrpu41j-LR_nzBev65YrImW8fleYE.9NyWAGCmkw9Hyh095Lh5JwHBHy-XS_PLrK-uC8BFbAU&dib_tag=se&qid=1725912188&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHUAWEI&s=electronics&sr=1-27&language=en_AE,https://m.media-amazon.com/images/I/611863RkVKL._AC_SL1000_.jpg,"[{'reviewer_name': 'Fad', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز', 'review_text': 'ممتاز\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 9 August 2023'}, {'reviewer_name': 'سي جدا اريد ارجاعه', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nاريد إرجاع المنتج', 'review_text': 'لا تتوفر فيه خدماتمع العلم انكم عطيتوني ٣٠ يوم الارجاع وطلبت تاريخ واحد باقي عشر ايام\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 20 July 2023'}, {'reviewer_name': 'Amazon Customer', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nاللون غلط وبدون سماعه', 'review_text': 'تفاصيل خاطئه!!!!!!!\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 2 January 2024'}, {'reviewer_name': 'محمد', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\n.', 'review_text': 'منتج رائع\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 5 November 2023'}, {'reviewer_name': 'Jesica Balbin Cañega', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nGood product', 'review_text': 'Good quality material and Worth it to buy😊\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 23 June 2023'}]",Amazon SA
"Huawei Nova 8I - Smartphone 6.67"" (66W Huawei Supercharge, 64Mp Ai Quad Camera, Edgeless Display, 8Gb Ram + 128Gb Rom, 4300 Mah, Emui 11) - Moonlight Silver",HUAWEI,"Android 10, EMUI 11, no Google Play Services",8 GB,A-Series,8 GB,6.67 Inches,2340 x 1080,1.92 GHz,Nova 8i,,,,,,Silver,SAR910.12,,SAR,3.5 out of 5 stars,https://www.amazon.sa/-/en/Huawei-Nova-Smartphone-Supercharge-Moonlight/dp/B09GNQRCD9/ref=sr_1_51?dib=eyJ2IjoiMSJ9.jAAuNsLU_3r2RQqksch9DozwSIbNQ1b3jOF0LQhSPKOrtB_Qi-tLNYriMXUuaUtrgEsr1zKhXPfVoKWzpJ6fOnBBQeTsbiRaxfVOqMc5sMaWr1HlcklNyJ_PCJqAQ7PjUj1AONAvvro0_jLjg2bTwlyxyjRSHyX-ycx3a2w78pdbY8AootKuPrI0R7qgbyVMS59hlN4O0o2ui4QWUtjxmZXof9hobl5eDI2-j0bW7JdQA59zs6N8FKuYvvv_1Pdmj-1zTE4Adn4qFNnWae2bH7_ZTNYZeIwem1vsLSeQgio.Cl_r7LSevUZDSDR1nRMQ96q_NsaYsdKndDYdlrjd17A&dib_tag=se&qid=1725912191&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHUAWEI&s=electronics&sr=1-51&language=en_AE,https://m.media-amazon.com/images/I/51qcjlYrPQL._AC_SL1000_.jpg,"[{'reviewer_name': 'عبدالعزيز', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nيعلق', 'review_text': 'جوده رديه يعلق\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 6 October 2022'}, {'reviewer_name': 'Mohamed Mohamed', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nاين الفاتوره', 'review_text': 'اين الفاتوره\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 13 July 2022'}, {'reviewer_name': 'Hanan Mohmmad', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nالمملكة العربية السعودية', 'review_text': 'ممتاز\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 23 December 2022'}]",Amazon SA
Huawei nova 9 SE Dual-SIM 128GB ROM + 8GB RAM (GSM Only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Crystal Blue) - International Version,HUAWEI,,8 GB,Snapdragon,128 GB,6.78 Inches,1080 x 2388,"1.9, 2.4 GHz",nova 9 SE,,,Unlocked for All Carriers,4G,,Crystal Blue,"SAR2,579.00",,SAR,4.1 out of 5 stars,https://www.amazon.sa/-/en/Dual-SIM-Factory-Unlocked-Smartphone-Crystal/dp/B09TL7NMKY/ref=sr_1_82?dib=eyJ2IjoiMSJ9.0-xgi8BENIdo4WhsrBSy_2cEXsIS6rrMnarkpUJyCuV8fAg_ngENUuISPxbhpu0G9DDwwepWmRhG6Jq5skiO076pRnoak4jpaxY3yBVXNIpT2j2CCQ0mtLMOx8xrIjWx2uiD48uYkUghzSs9RoxcXKTZJ4383TANYtsoD6YVbBw4rlsDqKC8ADUMVyHCF3PScIX7Daanj9D7mF2_n6omKUSXr71PPNuVC3OUBFAgGC7kTfVzuvwqsiOoaYQiIrPJJN0d-UWwD-eLiU4L3vp6eKAJZ1PW--lO3bSYP-JJh2U.iLNJpRkBQzWyq5R8O6cCqnia0VJ4gsWHEmoPJ6nyRYQ&dib_tag=se&qid=1725912195&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHUAWEI&s=electronics&sr=1-82&language=en_AE,https://m.media-amazon.com/images/I/51BbBrflLVL._AC_SL1000_.jpg,[],Amazon SA
HUAWEI P30 Lite New Edition Marie-L21BX Dual-SIM 256GB Factory Unlocked 4G/LTE Smartphone - International Version (Midnight Black),HUAWEI,Android 9.0,6 GB,Snapdragon,256 GB,6.15 Inches,1080 x 2312,"2.2, 1.7 GHz",HUAWEI P30,,,,,,Midnight Black,"SAR3,659.00",,SAR,4.5 out of 5 stars,https://www.amazon.sa/-/en/HUAWEI-Marie-L21BX-Dual-SIM-Unlocked-Smartphone/dp/B082Z2B5S3/ref=sr_1_120?dib=eyJ2IjoiMSJ9.HMMZZxKOcnmZKKj0Tg91WAG4DMmZQX11d0rxlwK0sXDtGtxmjlYQz2QpnwQ5jVKFuPr0gBPzHgymIUIveTfjFbrwMax21Mljbs5oVOz_VSyFwla7p4R9VF4p85qqrB5jLeWfLV3jTAtuINIV2DeEUuxyEW3d77UqbmgRNuEoobLC5UqeROM4MC5LbuDTpj89MKr2uPJ2dW2xqoniTn3cLOgCvEIuYbzBMEBXSDr_TrUvS18LgfKEC258Vsh5Gk5-WwU1z2Hyi0HMG-grUKvBC_1Ya2nQgd7pN4-eDPWwqlE.NphLpZGNoZF-i2UlrstsiMc8PidRSb28gGuIxgYuymY&dib_tag=se&qid=1725912198&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHUAWEI&s=electronics&sr=1-120&language=en_AE,https://m.media-amazon.com/images/I/71a+l3st7rL._AC_SL1500_.jpg,[],Amazon SA
HUAWEI P20 Pro 128Gb Dual Sim Factory Unlocked 4G Lte Smartphone- Midnight Blue,HUAWEI,Android 9.0,6 GB,Snapdragon,128 GB,6.1 Inches,,,HUAWEI P20 Pro,,,,3G,,Midnight Blue,"SAR4,049.00",,SAR,4.2 out of 5 stars,https://www.amazon.sa/-/en/HUAWEI-Factory-Unlocked-Smartphone-Midnight/dp/B07BHD3L23/ref=sr_1_157?dib=eyJ2IjoiMSJ9.LdZAzkdHCP4eDO7ohuTZ_cR_9KCfpV6DnrWwVQZfD3prgmvZhZIGHRGlvHA6RSfo6b8Fxck-8AQAiocyN48ywsT2FzIkTiXp1CBNjTv6qt0GSCXnvXtsYy3jJxnu0X4ePMWgdx29r3L9ES2k4rJFxGlsA3DHVrQzSmx8qch6niqg-4n7PoGt9oVdMVPXvMcQg_Xir7bVHJu0zjY5uZDKIBba7oH87S6EWFfPeLsuijv0PDupF5pCyPMAMA-cF3BFNMdANFsT2p0aqhgo_GM2F4RAx3Ykr2E6qPfZ8fjiqRA.l9dHpFzkJG0VuoAID694xfpmbO5ZwI44Xb7tmNbHFeA&dib_tag=se&qid=1725912205&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHUAWEI&s=electronics&sr=1-157&language=en_AE,https://m.media-amazon.com/images/I/81DSC9BnKJL._AC_SL1500_.jpg,[],Amazon SA
"HUAWEI Nova Y90 Smart Phone (+ Free NeckBand), 6.7"" Edgeless FullView Display, 40W Fast Charging, 5000 mAh Large Battery, 50 MP AI Triple Camera, 6GB RAM, 128GB Storage, EMUI 12, LTE, Emerald Green",HUAWEI,Android 13.0,6 GB,A-Series,128 GB,6.7 Inches,1080 x 2388,2.2 GHz,HUAWEI Nova Y90,,,,,,Emerald Green,,,SAR,3.9 out of 5 stars,https://www.amazon.sa/-/en/HUAWEI-NeckBand-Edgeless-FullView-Charging/dp/B0BF4WNMGW/ref=sr_1_12?dib=eyJ2IjoiMSJ9.9EiWj0HXXpesGjzJzPvV84X3kDZarLDMY0rZGMCPsP-Nnb6ZFLViL1V58bQt5zR4zRV7vfle6fNOd1XSERmaOJmv5UijK4m5jR_htIfBWImVTh2oa5sZIMcP9j8ax1hRgLZVUM2pqcmwnk6CXAaLGaSCTCcz6FkmV17MAU00lOEo9HkBR79JvWyi2vohcneEbZGJWVASv2JeJDVTgDV37_I2mue9K84QX83jS92e-DGbL6SmrAtQqzpf8OoysGSKdl0O0WsnlfQX4UNRLpY05pPeXRRN4SWOk8vxz0fSjCk.AvmPWOjDkaufnymICMlRXl-ir5BvFVSm_wepnFtP72g&dib_tag=se&qid=1725912180&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHUAWEI&s=electronics&sr=1-12&language=en_AE,https://m.media-amazon.com/images/I/51uj0YKlIzL._AC_SL1000_.jpg,"[{'reviewer_name': 'حمدة', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nام البنات', 'review_text': 'ممتاز جدا وصوت ماشاء الله\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 12 January 2024'}, {'reviewer_name': 'عوض بن سرور', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nممتاز لكن السعر اغلى', 'review_text': 'ممتاز لكن سعره اغلى من السوق\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 2 February 2024'}, {'reviewer_name': 'Amazon Customer', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nVery bad without Google apps.', 'review_text': ""Very bad mobile because I couldn't use Google apps somothly on it through third party app.Google maps is very slow and not working smoothly well on it.\nRead more"", 'review_date': 'Reviewed in Saudi Arabia on 15 May 2023'}, {'reviewer_name': 'يوسف', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجيد لحد الحين و تغليف كويس', 'review_text': 'جيد لحد الحين و تغليف كويس\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 13 November 2023'}, {'reviewer_name': 'Very good', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nVery good 👍', 'review_text': 'Very good but we need more fast delivery\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 4 May 2023'}, {'reviewer_name': 'It was poor quality and damaged', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nThanks for quick delivery', 'review_text': 'so far its not bad better its camera is too much edited\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 25 September 2023'}, {'reviewer_name': 'أمير صابر', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nكان فيه ساعه مع الهاتف ولم أحصل عليها مع الهاتف', 'review_text': 'كان فيه ساعه مع الهاتف ولم أحصل عليها مع الهاتف\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 3 April 2023'}, {'reviewer_name': 'user-MRFWGZ', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nNice items', 'review_text': 'Huawei nova Y90 amazing device\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 27 July 2023'}]",Amazon SA
HUAWEI P30 Lite New Edition Marie-L21BX Dual-SIM 256GB Factory Unlocked 4G/LTE Smartphone - International Version (Breathing Crystal),HUAWEI,Android 9.0,6 GB,Snapdragon,256 GB,6.15 Inches,,"2.2, 1.7 GHz",P30 Lite,,,"T-Mobile, AT&T",,,,"SAR2,965.00",,SAR,4.5 out of 5 stars,https://www.amazon.sa/-/en/HUAWEI-Marie-L21BX-Dual-SIM-Unlocked-Smartphone/dp/B082W87C1H/ref=sr_1_121?dib=eyJ2IjoiMSJ9.PCa2A3KpLxk9rPag8aiLPfhvU0uV2VgVkf-RsH2pTU5cipknPP5g8mnFH7I0vPQiKcMvvCHnfspJJSeB_yWMrrTZbMr-8kiT9ZsBHq92BZBUmbmUxi82avFpi5PGyWzCoGCi0OOOOI3_oitFzoDT0cTJ1E_cUc_5udtYvXHBXDv2_ToCKsGfq3s3xrUPsGP0IuGw2IwZ4Cg7JtmfNqF1N3IBvg7srv-ODCJ9bLv4xqc0kxUWFHfyOgQQBUvHtoUoMi4x5fif4I-yqvisd51w2z5P9rpk2jnykrYS61ywpiE.1z2XF8_b9ntjpaByrASA6hgHw46RBHFo8cTyN422eFk&dib_tag=se&qid=1725912202&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHUAWEI&s=electronics&sr=1-121&language=en_AE,https://m.media-amazon.com/images/I/61u-zMHAVnL._AC_SL1500_.jpg,[],Amazon SA
"Huawei P20 128GB Dual-SIM (GSM Only, No CDMA) Factory Unlocked 4G/LTE Smartphone (Midnight Blue) - International Version",HUAWEI,Android 8.1,6 GB,Snapdragon,128 GB,5.8 Inches,1920 x 1080,"1.8, 2.4 GHz",HUAWEI P20,,,,4G,,Midnight Blue,"SAR2,805.00",,SAR,4.5 out of 5 stars,https://www.amazon.sa/-/en/Dual-SIM-Factory-Unlocked-Smartphone-Midnight/dp/B07BHDC33K/ref=sr_1_154?dib=eyJ2IjoiMSJ9.LdZAzkdHCP4eDO7ohuTZ_cR_9KCfpV6DnrWwVQZfD3prgmvZhZIGHRGlvHA6RSfo6b8Fxck-8AQAiocyN48ywsT2FzIkTiXp1CBNjTv6qt0GSCXnvXtsYy3jJxnu0X4ePMWgdx29r3L9ES2k4rJFxGlsA3DHVrQzSmx8qch6niqg-4n7PoGt9oVdMVPXvMcQg_Xir7bVHJu0zjY5uZDKIBba7oH87S6EWFfPeLsuijv0PDupF5pCyPMAMA-cF3BFNMdANFsT2p0aqhgo_GM2F4RAx3Ykr2E6qPfZ8fjiqRA.l9dHpFzkJG0VuoAID694xfpmbO5ZwI44Xb7tmNbHFeA&dib_tag=se&qid=1725912205&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHUAWEI&s=electronics&sr=1-154&language=en_AE,https://m.media-amazon.com/images/I/51F4LkwRF3L._AC_SL1200_.jpg,[],Amazon SA
