Title,Brand,OS,RAM,CPU,Storage,Screen Size,Resolution,CPU Speed,Model,Wireless Technology,SIM Count,Wireless Provider,Cellular Technology,Camera,Color,Price,Price Before Promotion,Currancy,Rate,URL,IMG,Reviews,Website
"NOKIA C2 2E, 32GB+2GB, DS, GREY",Nokia,Android 11.0,32 GB,A-Series,32 GB,5.7 Inches,480 x 960,1.5 GHz,NOKIA C2 2E,,,,,,,299.,,SAR,3.6 out of 5 stars,https://www.amazon.sa/-/en/NOKIA-C2-32GB-2GB-GREY/dp/B0B39Q96KY/ref=sr_1_20?dib=eyJ2IjoiMSJ9.iAGjzKfTLKoH2MyhUIAHQBglnf-3gh_1LXI7gJLjtQaO8bvtljTD2JlMpjQvD_LQ07kW4aWMlLVV6fcHd7IjFy3DmRFkJtj-Cmg9zfDo891z0VUJD8qQg4mDbekDHJFiH6-SjBufilUAFK5ET6qmBna_p_gPTdavsDmkPQYgTEA52I5BsWbLfSwJuOMJ0-foNIh0is787qA5OOIUOahNx7aHf0zbFMzCFEJ1n6G2vZCrxfc7p1wEYYQHhowKHCP9dRyBg7JphzquFLNDFoXLxdOLyXVKxS5yVb-TLjvqILs.u02xjypHki4Y8uwHDbU9-q7FZuxGHhpwSiHfWpUBMNY&dib_tag=se&qid=1725910519&refinements=p_89%3ANokia%2Cp_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031&s=electronics&sr=1-20&language=en_AE,https://m.media-amazon.com/images/I/810yqLjxjxL._AC_SL1500_.jpg,"[{'reviewer_name': 'سلطان', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\n\u200fمن تاز', 'review_text': 'كويس الحمد لله\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 14 April 2023'}, {'reviewer_name': 'fahad', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nوصف المنتج غير صحيح', 'review_text': 'In a description of a product, it was mentioned that it has a Type C charger, but the reality is otherwise\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 19 September 2022'}, {'reviewer_name': 'ateeg', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nلا انصح به سيء جدا مقارنه بسعرة', 'review_text': 'لم يعجبني ابدا\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 27 October 2022'}]",Amazon SA
Nokia 1.4 D.Sim 1/16GB - Charcoal,Nokia,Android 10.0,2 GB,Snapdragon,16 GB,6.51 Inches,,2 GHz,1.4,,,Unlocked for All Carriers,4G,,Charcoal,"SAR1,355.00",,SAR,5.0 out of 5 stars,https://www.amazon.sa/-/en/Nokia-1-4-D-Sim-16GB-Charcoal/dp/B08V1ZSK4W/ref=sr_1_90?dib=eyJ2IjoiMSJ9.1fF9EnuGbyyDmMm6e7E1CsDiyls9yGI7VUhBsZAXfHda6RfV3Q7LfwENgXlqIN56Mwh9w3b0iimcKKm4kEWY1IGJEqVlS243j3Z5JPY2MIXOp2-AivHAKRzDj3VRXRnhHp8qKtjBffb7Vecck67i79B-BBPp0NcGAJpqYJ9cEh2U3XWvL_JHsWRQL9m6zpCR0nq17aiUQrd7Rmyr7W4vDm-W2teXrX8k8Fi_0SkfqmHvg3Gx438CWbNqfaAICTqaJ7vih4y6sB_5EkqXwV1UlCrmIATIsMEH2S8yWGeU5qw.Vp1hGVBno3ak-IIKwRGBd1Dcu8oPQ5_94zJuDTn6HmA&dib_tag=se&qid=1725910534&refinements=p_89%3ANokia%2Cp_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031&s=electronics&sr=1-90&language=en_AE,https://m.media-amazon.com/images/I/7198+l23IIL._AC_SL1500_.jpg,[],Amazon SA
Nokia C12 Dual SIM 64GB ROM + 2GB RAM Factory Unlocked 4G/LTE Smartphone (Charcoal) - International Version,Nokia,Android,2 GB,Snapdragon,64 GB,6.3 Inches,720 x 1600,"1.2, 2.35, 1.6 GHz",C12,,,Unlocked for All Carriers,,,Charcoal,"SAR1,105.00",,SAR,Previous page of related Sponsored Products,https://www.amazon.sa/-/en/Nokia-Factory-Unlocked-Smartphone-Charcoal/dp/B0C9MRW4BF/ref=sr_1_37?dib=eyJ2IjoiMSJ9.O-Trb85obWRMYMspCl0AVKEOfv_FeJWvmTYpwJ1MKLv6UUnM3NaJ1cjmbJdWJ7ar_lEp-uwRoDvQv8E-POGOpIEu5Dd_0R1cUX9BInslzoPeHHT5Goz5WiRDl5ifRvFnvk-3Mhokne2qvb7rSN_KTxP4D_xw4I8uQRDIVNJULuT4fRZtfXOCzcsrhckkRmdwBrkTHt1scZbnNY3wMMadNvYTeh9AMlcjQyjR9UDaQX87r_RNgI_NsAZGQNGYM29y3TG3X6kTAwJcD22RF38v0evhAK9E6787j9sBafTH65c.igtx86j0SSj7HBEegC704EhvE0jpWB3c14fPTDoqh_Q&dib_tag=se&qid=1725910524&refinements=p_89%3ANokia%2Cp_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031&s=electronics&sr=1-37&language=en_AE,https://m.media-amazon.com/images/I/71WAn3PSazL._AC_SL1500_.jpg,[],Amazon SA
"Nokia 5.4 4G Dual Sim Smartphone with a 6.39” HD+ screen, 4GB RAM, 128GB ROM, 48MP Quad camera, Qualcomm Snapdragon 662, 2-day battery and Android upgrades - Polar Night",Nokia,Android 11.0,4 GB,Snapdragon,128 GB,6.39 Inches,720 x 1560,2 GHz,Nokia 5.4 4G,,,,,,,535.,,SAR,3.7 out of 5 stars,https://www.amazon.sa/-/en/Nokia-Smartphone-Qualcomm-Snapdragon-upgrades/dp/B08QVK6P8C/ref=sr_1_3?dib=eyJ2IjoiMSJ9.iAGjzKfTLKoH2MyhUIAHQBglnf-3gh_1LXI7gJLjtQaO8bvtljTD2JlMpjQvD_LQ07kW4aWMlLVV6fcHd7IjFy3DmRFkJtj-Cmg9zfDo891z0VUJD8qQg4mDbekDHJFiH6-SjBufilUAFK5ET6qmBna_p_gPTdavsDmkPQYgTEA52I5BsWbLfSwJuOMJ0-foNIh0is787qA5OOIUOahNx7aHf0zbFMzCFEJ1n6G2vZCrxfc7p1wEYYQHhowKHCP9dRyBg7JphzquFLNDFoXLxdOLyXVKxS5yVb-TLjvqILs.u02xjypHki4Y8uwHDbU9-q7FZuxGHhpwSiHfWpUBMNY&dib_tag=se&qid=1725910519&refinements=p_89%3ANokia%2Cp_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031&s=electronics&sr=1-3&language=en_AE,https://m.media-amazon.com/images/I/81IpIjYRVmL._AC_SL1500_.jpg,"[{'reviewer_name': 'Abdulsalam', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nGood mobile', 'review_text': 'Good\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 14 August 2021'}, {'reviewer_name': 'AMMAR ALAIDAROUS', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nValue for money!', 'review_text': 'Very nice large screen, fast 5g connection, and big storage, best value for money..\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 29 May 2021'}]",Amazon SA
"Nokia G11 Plus, 4GB/64GB, Grey",Nokia,Android 12.0,4 GB,Snapdragon,4 GB,6.52 Inches,720 x 1600,,G11 Plus,,,Unlocked for All Carriers,,,nano,SAR441.02,,SAR,4.2 out of 5 stars,https://www.amazon.sa/-/en/Nokia-G11-Plus-64GB-Grey/dp/B0C1Z7WXZS/ref=sr_1_9?dib=eyJ2IjoiMSJ9.iAGjzKfTLKoH2MyhUIAHQBglnf-3gh_1LXI7gJLjtQaO8bvtljTD2JlMpjQvD_LQ07kW4aWMlLVV6fcHd7IjFy3DmRFkJtj-Cmg9zfDo891z0VUJD8qQg4mDbekDHJFiH6-SjBufilUAFK5ET6qmBna_p_gPTdavsDmkPQYgTEA52I5BsWbLfSwJuOMJ0-foNIh0is787qA5OOIUOahNx7aHf0zbFMzCFEJ1n6G2vZCrxfc7p1wEYYQHhowKHCP9dRyBg7JphzquFLNDFoXLxdOLyXVKxS5yVb-TLjvqILs.u02xjypHki4Y8uwHDbU9-q7FZuxGHhpwSiHfWpUBMNY&dib_tag=se&qid=1725910519&refinements=p_89%3ANokia%2Cp_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031&s=electronics&sr=1-9&language=en_AE,https://m.media-amazon.com/images/I/81fvRSokWVL._AC_SL1500_.jpg,"[{'reviewer_name': 'Sahar', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجميل', 'review_text': 'جميل انصح فية\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 7 February 2024'}, {'reviewer_name': 'laila', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nجيد', 'review_text': 'جيد وسعره مناسب\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 24 May 2024'}, {'reviewer_name': 'Fernando Jr Lopez', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nValue for money', 'review_text': 'Over-all is okay except for the camera.\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 28 October 2023'}]",Amazon SA
"Nokia 1.4 Android Smartphone Dual Sim, 3Gb Ram, 64 Gb Memory, 6.51""Hd+Edge-To-Edge Screen, Face Unlock, Finger Print – Blue",Nokia,Android 10.0,3 GB,Snapdragon,64 GB,6.51 Inches,720 x 1560,,Nokia 1.4,,,Unlocked for All Carriers,,,Blue,SAR324.20,,SAR,3.7 out of 5 stars,https://www.amazon.sa/-/en/Nokia-Android-Smartphone-Memory-Screen/dp/B0933LXLR2/ref=sr_1_34?dib=eyJ2IjoiMSJ9.O-Trb85obWRMYMspCl0AVKEOfv_FeJWvmTYpwJ1MKLv6UUnM3NaJ1cjmbJdWJ7ar_lEp-uwRoDvQv8E-POGOpIEu5Dd_0R1cUX9BInslzoPeHHT5Goz5WiRDl5ifRvFnvk-3Mhokne2qvb7rSN_KTxP4D_xw4I8uQRDIVNJULuT4fRZtfXOCzcsrhckkRmdwBrkTHt1scZbnNY3wMMadNvYTeh9AMlcjQyjR9UDaQX87r_RNgI_NsAZGQNGYM29y3TG3X6kTAwJcD22RF38v0evhAK9E6787j9sBafTH65c.igtx86j0SSj7HBEegC704EhvE0jpWB3c14fPTDoqh_Q&dib_tag=se&qid=1725910524&refinements=p_89%3ANokia%2Cp_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031&s=electronics&sr=1-34&language=en_AE,https://m.media-amazon.com/images/I/716z0PoeboL._AC_SL1500_.jpg,[],Amazon SA
Nokia G22 101S0609H001 Dual-Sim 64GB ROM + 4GB RAM (GSM only | No CDMA) Factory Unlocked 4G/LTE SmartPhone (Meteor Grey) - International Version,Nokia,Android 12.0,4 GB,Cortex A7,4 GB,6.52 Inches,720 x 1600,1.6 GHz,G22,,,,,,Meteor Grey,SAR661.04,,SAR,3.7 out of 5 stars,https://www.amazon.sa/-/en/Nokia-101S0609H001-Dual-Sim-Unlocked-SmartPhone/dp/B0BVRLPRK6/ref=sr_1_50?dib=eyJ2IjoiMSJ9.174DpqfdD-91AxUGsYjl2Vz5OFHLBy21sFaZ6oW7HOOt-T_9irHNMCrUuucInHXbCC03rDCtJVQ5ysXTJanWuKSlMTvhX2qYyWgbUfMVFUM5rqqEv6rkYVQ0RNSVRB_dcX46t4bHK_aw0s1O7g7Xc906fCpco2HQE_EhgDZpmCVSGZHJht5GoEVeFDg_aGbJt7LGuE2e1QU0zOw_GWzwagjjZ3jrlFpwdWKssZOxy7tV75gctieaFVYw5pRWNBsqnk3WoD8ux7WyvyX2K8Sbz14jTP2EqDLAlyJOZIfIYnk.OnbTGf-5ib9PQUIOHsG2cQrKrm07-7S5Jf6O9yAN3Mw&dib_tag=se&qid=1725910528&refinements=p_89%3ANokia%2Cp_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031&s=electronics&sr=1-50&language=en_AE,https://m.media-amazon.com/images/I/51jxO7QfyBL._AC_SL1500_.jpg,[],Amazon SA
"NOKIA 1.3 Android Smartphone, 1GB RAM, 16 GB Memory, 5.71"" HD+, AI Imaging, 3000 mAh battery - Cyan",Nokia,Android 10.0,1 GB,Snapdragon,16 GB,5.71 Inches,,,Nokia 1.3,,,Unlocked for All Carriers,4G,,Cyan,"SAR1,289.00",,SAR,3.0 out of 5 stars,https://www.amazon.sa/-/en/Android-Smartphone-Memory-Imaging-battery/dp/B08B15F7RM/ref=sr_1_94?dib=eyJ2IjoiMSJ9.1fF9EnuGbyyDmMm6e7E1CsDiyls9yGI7VUhBsZAXfHda6RfV3Q7LfwENgXlqIN56Mwh9w3b0iimcKKm4kEWY1IGJEqVlS243j3Z5JPY2MIXOp2-AivHAKRzDj3VRXRnhHp8qKtjBffb7Vecck67i79B-BBPp0NcGAJpqYJ9cEh2U3XWvL_JHsWRQL9m6zpCR0nq17aiUQrd7Rmyr7W4vDm-W2teXrX8k8Fi_0SkfqmHvg3Gx438CWbNqfaAICTqaJ7vih4y6sB_5EkqXwV1UlCrmIATIsMEH2S8yWGeU5qw.Vp1hGVBno3ak-IIKwRGBd1Dcu8oPQ5_94zJuDTn6HmA&dib_tag=se&qid=1725910534&refinements=p_89%3ANokia%2Cp_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031&s=electronics&sr=1-94&language=en_AE,https://m.media-amazon.com/images/I/31ZmhsC4uqL.__AC_SX300_SY300_QL70_ML2_.jpg,[],Amazon SA
Nokia G21 Dual-SIM 64GB ROM + 4GB RAM (GSM Only | No CDMA) Factory Unlocked Android 4G/LTE Smartphone (Dusk) - International Version,Nokia,,4 GB,Snapdragon,64 GB,6.5 Inches,720 x 1600,1.6 GHz,G21,,,Unlocked for All Carriers,,,Dusk,SAR421.17,,SAR,4.0 out of 5 stars,https://www.amazon.sa/-/en/Nokia-Dual-SIM-Factory-Unlocked-Smartphone/dp/B09RQYDVLV/ref=sr_1_70?dib=eyJ2IjoiMSJ9.174DpqfdD-91AxUGsYjl2Vz5OFHLBy21sFaZ6oW7HOOt-T_9irHNMCrUuucInHXbCC03rDCtJVQ5ysXTJanWuKSlMTvhX2qYyWgbUfMVFUM5rqqEv6rkYVQ0RNSVRB_dcX46t4bHK_aw0s1O7g7Xc906fCpco2HQE_EhgDZpmCVSGZHJht5GoEVeFDg_aGbJt7LGuE2e1QU0zOw_GWzwagjjZ3jrlFpwdWKssZOxy7tV75gctieaFVYw5pRWNBsqnk3WoD8ux7WyvyX2K8Sbz14jTP2EqDLAlyJOZIfIYnk.OnbTGf-5ib9PQUIOHsG2cQrKrm07-7S5Jf6O9yAN3Mw&dib_tag=se&qid=1725910528&refinements=p_89%3ANokia%2Cp_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031&s=electronics&sr=1-70&language=en_AE,https://m.media-amazon.com/images/I/71mG19j4AKL._AC_SL1500_.jpg,[],Amazon SA
"Nokia C20 Plus, 6.5""(16.51cm) HD+ Screen, 4950 mAh Battery, 3 + 32GB Memory (Dark Grey)",Nokia,Android 11.0,3 GB,Athlon,32 GB,6.5 Inches,,1.6 GHz,Nokia C20 Plus,,,Unlocked for All Carriers,,,,"SAR1,649.00",,SAR,3.7 out of 5 stars,https://www.amazon.sa/-/en/Nokia-C20-Plus-16-51cm-Battery/dp/B09BW5N7SZ/ref=sr_1_77?dib=eyJ2IjoiMSJ9.1fF9EnuGbyyDmMm6e7E1CsDiyls9yGI7VUhBsZAXfHda6RfV3Q7LfwENgXlqIN56Mwh9w3b0iimcKKm4kEWY1IGJEqVlS243j3Z5JPY2MIXOp2-AivHAKRzDj3VRXRnhHp8qKtjBffb7Vecck67i79B-BBPp0NcGAJpqYJ9cEh2U3XWvL_JHsWRQL9m6zpCR0nq17aiUQrd7Rmyr7W4vDm-W2teXrX8k8Fi_0SkfqmHvg3Gx438CWbNqfaAICTqaJ7vih4y6sB_5EkqXwV1UlCrmIATIsMEH2S8yWGeU5qw.Vp1hGVBno3ak-IIKwRGBd1Dcu8oPQ5_94zJuDTn6HmA&dib_tag=se&qid=1725910534&refinements=p_89%3ANokia%2Cp_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031&s=electronics&sr=1-77&language=en_AE,https://m.media-amazon.com/images/I/61G1QGs6WKL._AC_SL1080_.jpg,[],Amazon SA
Nokia XR21 Dual-SIM 128GB ROM + 6GB RAM (Only GSM | No CDMA) Factory Unlocked 5G Smartphone (Midnight Black) - International Version,Nokia,Android 12.0,6 GB,Snapdragon,6 GB,16.48 Centimeters,1080 x 2400,"2.2, 1.7 GHz",XR21,,,,,,Midnight Black,"SAR3,085.00",,SAR,3.7 out of 5 stars,https://www.amazon.sa/-/en/Nokia-Dual-SIM-Unlocked-Smartphone-Midnight/dp/B0C49SFCML/ref=sr_1_18?dib=eyJ2IjoiMSJ9.iAGjzKfTLKoH2MyhUIAHQBglnf-3gh_1LXI7gJLjtQaO8bvtljTD2JlMpjQvD_LQ07kW4aWMlLVV6fcHd7IjFy3DmRFkJtj-Cmg9zfDo891z0VUJD8qQg4mDbekDHJFiH6-SjBufilUAFK5ET6qmBna_p_gPTdavsDmkPQYgTEA52I5BsWbLfSwJuOMJ0-foNIh0is787qA5OOIUOahNx7aHf0zbFMzCFEJ1n6G2vZCrxfc7p1wEYYQHhowKHCP9dRyBg7JphzquFLNDFoXLxdOLyXVKxS5yVb-TLjvqILs.u02xjypHki4Y8uwHDbU9-q7FZuxGHhpwSiHfWpUBMNY&dib_tag=se&qid=1725910519&refinements=p_89%3ANokia%2Cp_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031&s=electronics&sr=1-18&language=en_AE,https://m.media-amazon.com/images/I/713YxbBVNrL._AC_SL1500_.jpg,[],Amazon SA
Nokia C21+ 2/32GB D.Sim - Cyan,Nokia,Android 11.0,2 GB,A-Series,2 GB,6.5 Inches,,,C21,,,Unlocked for All Carriers,4G,,Cyan,SAR377.39,,SAR,3.8 out of 5 stars,https://www.amazon.sa/-/en/Nokia-C21-32GB-D-Sim-Cyan/dp/B09WVZV7DH/ref=sr_1_65?dib=eyJ2IjoiMSJ9.174DpqfdD-91AxUGsYjl2Vz5OFHLBy21sFaZ6oW7HOOt-T_9irHNMCrUuucInHXbCC03rDCtJVQ5ysXTJanWuKSlMTvhX2qYyWgbUfMVFUM5rqqEv6rkYVQ0RNSVRB_dcX46t4bHK_aw0s1O7g7Xc906fCpco2HQE_EhgDZpmCVSGZHJht5GoEVeFDg_aGbJt7LGuE2e1QU0zOw_GWzwagjjZ3jrlFpwdWKssZOxy7tV75gctieaFVYw5pRWNBsqnk3WoD8ux7WyvyX2K8Sbz14jTP2EqDLAlyJOZIfIYnk.OnbTGf-5ib9PQUIOHsG2cQrKrm07-7S5Jf6O9yAN3Mw&dib_tag=se&qid=1725910528&refinements=p_89%3ANokia%2Cp_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031&s=electronics&sr=1-65&language=en_AE,https://m.media-amazon.com/images/I/816vvDRULpL._AC_SL1500_.jpg,[],Amazon SA
Nokia G42 Dual-SIM 128GB ROM + 6GB RAM (Only GSM | No CDMA) Factory Unlocked 5G Smartphone (So Grey) - International Version,Nokia,Android 10.0,128 GB,Snapdragon,6 GB,6.56 Inches,720 x 1612,"1.8, 2.2 GHz",G42,,,,,,,"SAR1,509.00",,SAR,4.3 out of 5 stars,https://www.amazon.sa/-/en/Nokia-Dual-SIM-Factory-Unlocked-Smartphone/dp/B0C8P12Z1Z/ref=sr_1_38?dib=eyJ2IjoiMSJ9.O-Trb85obWRMYMspCl0AVKEOfv_FeJWvmTYpwJ1MKLv6UUnM3NaJ1cjmbJdWJ7ar_lEp-uwRoDvQv8E-POGOpIEu5Dd_0R1cUX9BInslzoPeHHT5Goz5WiRDl5ifRvFnvk-3Mhokne2qvb7rSN_KTxP4D_xw4I8uQRDIVNJULuT4fRZtfXOCzcsrhckkRmdwBrkTHt1scZbnNY3wMMadNvYTeh9AMlcjQyjR9UDaQX87r_RNgI_NsAZGQNGYM29y3TG3X6kTAwJcD22RF38v0evhAK9E6787j9sBafTH65c.igtx86j0SSj7HBEegC704EhvE0jpWB3c14fPTDoqh_Q&dib_tag=se&qid=1725910524&refinements=p_89%3ANokia%2Cp_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031&s=electronics&sr=1-38&language=en_AE,https://m.media-amazon.com/images/I/61dhrEwe7rL._AC_SL1500_.jpg,[],Amazon SA
Nokia X30 5G Dual-Sim 128GB ROM + 6GB RAM (GSM only | No CDMA) Factory Unlocked 5G SmartPhone (Cloudy Blue) - International Version,Nokia,,6 GB,Snapdragon,128 GB,6.43 Inches,,"2.2, 1.7 GHz",X30 5G,,,Unlocked for All Carriers,2G,,Blue,"SAR2,000.00",,SAR,5.0 out of 5 stars,https://www.amazon.sa/-/en/Nokia-Dual-Sim-Factory-Unlocked-SmartPhone/dp/B0BF14B54G/ref=sr_1_55?dib=eyJ2IjoiMSJ9.174DpqfdD-91AxUGsYjl2Vz5OFHLBy21sFaZ6oW7HOOt-T_9irHNMCrUuucInHXbCC03rDCtJVQ5ysXTJanWuKSlMTvhX2qYyWgbUfMVFUM5rqqEv6rkYVQ0RNSVRB_dcX46t4bHK_aw0s1O7g7Xc906fCpco2HQE_EhgDZpmCVSGZHJht5GoEVeFDg_aGbJt7LGuE2e1QU0zOw_GWzwagjjZ3jrlFpwdWKssZOxy7tV75gctieaFVYw5pRWNBsqnk3WoD8ux7WyvyX2K8Sbz14jTP2EqDLAlyJOZIfIYnk.OnbTGf-5ib9PQUIOHsG2cQrKrm07-7S5Jf6O9yAN3Mw&dib_tag=se&qid=1725910528&refinements=p_89%3ANokia%2Cp_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031&s=electronics&sr=1-55&language=en_AE,https://m.media-amazon.com/images/I/215lIIkByVL.__AC_QL70_ML2_.jpg,[],Amazon SA
Nokia G50 Dual-SIM 64GB ROM + 4GB RAM (GSM Only | No CDMA) Factory Unlocked 5G/LTE Smartphone (Midnight Sun) - International Version,Nokia,Android 11.0,4 GB,Snapdragon,64 GB,6.82 Inches,,"2.0, 1.8 GHz",G50,,,Unlocked for All Carriers,4G,,,"SAR1,475.00",,SAR,5.0 out of 5 stars,https://www.amazon.sa/-/en/Nokia-Dual-SIM-Unlocked-Smartphone-Midnight/dp/B09JCHV49Y/ref=sr_1_72?dib=eyJ2IjoiMSJ9.174DpqfdD-91AxUGsYjl2Vz5OFHLBy21sFaZ6oW7HOOt-T_9irHNMCrUuucInHXbCC03rDCtJVQ5ysXTJanWuKSlMTvhX2qYyWgbUfMVFUM5rqqEv6rkYVQ0RNSVRB_dcX46t4bHK_aw0s1O7g7Xc906fCpco2HQE_EhgDZpmCVSGZHJht5GoEVeFDg_aGbJt7LGuE2e1QU0zOw_GWzwagjjZ3jrlFpwdWKssZOxy7tV75gctieaFVYw5pRWNBsqnk3WoD8ux7WyvyX2K8Sbz14jTP2EqDLAlyJOZIfIYnk.OnbTGf-5ib9PQUIOHsG2cQrKrm07-7S5Jf6O9yAN3Mw&dib_tag=se&qid=1725910528&refinements=p_89%3ANokia%2Cp_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031&s=electronics&sr=1-72&language=en_AE,https://m.media-amazon.com/images/I/21bZBQT0Z4L.__AC_QL70_ML2_.jpg,[],Amazon SA
"Nokia 2.4 4G Smartphone with 6.5” HD+ screen, Dual SIM, 32GB ROM, 2GB RAM, Multi mode camera, 2-day battery life, fingerprint sensor, durable design, Android 10 and Google Assistant Button - Fjord",Nokia,Android 10.0,2 GB,Snapdragon,32 GB,6.5 Inches,720 x 1600,2 GHz,2.4,,,,,,,740.,,SAR,3.6 out of 5 stars,https://www.amazon.sa/-/en/Nokia-2-4-Smartphone-fingerprint-Assistant/dp/B08LCG14NC/ref=sr_1_22?dib=eyJ2IjoiMSJ9.iAGjzKfTLKoH2MyhUIAHQBglnf-3gh_1LXI7gJLjtQaO8bvtljTD2JlMpjQvD_LQ07kW4aWMlLVV6fcHd7IjFy3DmRFkJtj-Cmg9zfDo891z0VUJD8qQg4mDbekDHJFiH6-SjBufilUAFK5ET6qmBna_p_gPTdavsDmkPQYgTEA52I5BsWbLfSwJuOMJ0-foNIh0is787qA5OOIUOahNx7aHf0zbFMzCFEJ1n6G2vZCrxfc7p1wEYYQHhowKHCP9dRyBg7JphzquFLNDFoXLxdOLyXVKxS5yVb-TLjvqILs.u02xjypHki4Y8uwHDbU9-q7FZuxGHhpwSiHfWpUBMNY&dib_tag=se&qid=1725910519&refinements=p_89%3ANokia%2Cp_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031&s=electronics&sr=1-22&language=en_AE,https://m.media-amazon.com/images/I/81AponCMHZL._AC_SL1500_.jpg,"[{'reviewer_name': 'user-MRFYW5', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nاستجابه سريعه للجهاز مميزات جباره', 'review_text': 'جوال ممتاز وتنصح به\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 12 September 2021'}, {'reviewer_name': 'محمد السالم', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nسى جدا', 'review_text': '👎👎\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 8 December 2022'}, {'reviewer_name': 'BMZ', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nيعلق', 'review_text': 'يعلق بعد فترة ماتيحمل تطبيقات كثير ويفصل وايفاي احيانا\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 8 March 2023'}, {'reviewer_name': 'arshad ali', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nnice', 'review_text': 'very nice\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 24 January 2021'}, {'reviewer_name': 'Ali®🇬🇧', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nالتنظيم وجودة المنتج', 'review_text': 'مميز\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 18 December 2020'}]",Amazon SA
